,Current_Speed_(knots),Height (cm),Height (ft),Moon Illuminated,Current speed category
497,,45.0,1.49,0.26,
498,0.0,,,0.26,No Current
499,0.1,,,0.26,Weak Current
500,,294.0,9.64,0.26,
501,0.0,,,0.26,No Current
502,0.3,,,0.36,Weak Current
503,,129.0,4.23,0.36,
504,0.0,,,0.36,No Current
505,0.2,,,0.36,Weak Current
506,,379.0,12.43,0.36,
507,0.0,,,0.36,No Current
508,0.6,,,0.36,Weak Current
509,,25.0,0.81,0.36,
510,0.0,,,0.36,No Current
511,0.2,,,0.36,Weak Current
512,,284.0,9.32,0.36,
513,0.0,,,0.36,No Current
514,0.2,,,0.47,Weak Current
515,,188.0,6.18,0.47,
516,0.0,,,0.47,No Current
517,0.2,,,0.47,Weak Current
518,,360.0,11.81,0.47,
519,0.0,,,0.47,No Current
520,0.6,,,0.47,Weak Current
521,,13.0,0.42,0.47,
522,0.0,,,0.47,No Current
523,0.2,,,0.47,Weak Current
524,,289.0,9.49,0.58,
525,0.0,,,0.58,No Current
526,0.1,,,0.58,Weak Current
527,0.0,,,0.58,No Current
528,,236.0,7.75,0.58,
529,0.1,,,0.58,Weak Current
530,0.0,,,0.58,No Current
531,,337.0,11.06,0.58,
532,0.6,,,0.58,Weak Current
533,,7.0,0.24,0.58,
534,0.0,,,0.58,No Current
535,0.2,,,0.58,Weak Current
536,,312.0,10.23,0.68,
537,0.0,,,0.68,No Current
538,0.0,,,0.68,No Current
539,,258.0,8.47,0.68,
540,0.0,,,0.68,No Current
541,,315.0,10.32,0.68,
542,0.6,,,0.68,Weak Current
543,,4.0,0.12,0.68,
544,0.0,,,0.68,No Current
545,0.2,,,0.68,Weak Current
546,0.0,,,0.77,No Current
547,,336.0,11.02,0.77,
548,0.0,,,0.77,No Current
549,,251.0,8.22,0.77,
550,0.0,,,0.77,No Current
551,,299.0,9.8,0.77,
552,0.6,,,0.77,Weak Current
553,,0.0,0.01,0.77,
554,0.0,,,0.77,No Current
555,0.2,,,0.77,Weak Current
556,0.0,,,0.84,No Current
557,,351.0,11.53,0.84,
558,0.1,,,0.84,Weak Current
559,0.0,,,0.84,No Current
560,,233.0,7.63,0.84,
561,0.0,,,0.84,No Current
562,,293.0,9.61,0.84,
563,0.5,,,0.84,Weak Current
564,,5.0,0.15,0.84,
565,0.0,,,0.84,No Current
566,0.2,,,0.84,Weak Current
567,0.0,,,0.91,No Current
568,,358.0,11.74,0.91,
569,0.1,,,0.91,Weak Current
570,0.0,,,0.91,No Current
571,,214.0,7.02,0.91,
572,,294.0,9.64,0.91,
573,0.0,,,0.91,No Current
574,0.6,,,0.91,Weak Current
575,,7.0,0.23,0.91,
576,0.0,,,0.91,No Current
577,0.2,,,0.96,Weak Current
578,0.0,,,0.96,No Current
579,,358.0,11.73,0.96,
